Group Name,Category Name,2026-04,2026-05,2026-06
Income,Salary,5000.00,5000.00,5000.00
Income,Freelance,,750.00,600.00
Housing,Rent / Mortgage,1800.00,1800.00,1800.00
Housing,Utilities,220.00,210.00,
Housing,Internet & Phone,95.00,95.00,95.00
Food,Groceries,650.00,675.00,700.00
Food,Restaurants & Takeout,180.00,160.00,150.00
Transport,Fuel,140.00,150.00,150.00
Transport,Public Transit,60.00,60.00,60.00
Health,Medical,100.00,100.00,125.00
Subscriptions,Streaming Services,45.00,45.00,45.00
Subscriptions,Software & Apps,30.00,30.00,30.00
Personal,Clothing,75.00,75.00,100.00
Savings,Emergency Fund,300.00,300.00,500.00
Savings,Vacation Fund,150.00,200.00,200.00
